Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,SCRUM-16,10015,"As a User, I want the portal to load quickly and provide a smooth user experience, so that I can access weather information without delays.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,12/Feb/24 12:00 AM
Story,SCRUM-17,10016,"As a user, I want the portal to have a visually appealing interface with intuitive navigation, so that I can easily find the information I need.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,15/Feb/24 12:00 AM
Story,SCRUM-18,10017,"As a developer, I want to design portals which should have a have provisions for advertisements on the portal and apps.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:02 AM,19/Mar/24 10:31 AM,18/Mar/24 12:00 AM
Story,SCRUM-22,10021,"As a user, I want to have the facility to show satellite images and time-lapsed videos based on location and preferences.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,29/Feb/24 12:00 AM
Story,SCRUM-23,10022,"As a mobile user, I want to download and install the iOS app, so that I can access weather information on my iPhone.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,10/Mar/24 12:00 AM
Story,SCRUM-24,10023,"As a mobile user, I want to download and install the android app, so that I can access weather information on my android phone.",Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:03 AM,19/Mar/24 10:31 AM,10/Mar/24 12:00 AM
Story,SCRUM-25,10024,"As a system administrator, I want to integrate with multiple public weather services, so that we can collect comprehensive weather data from various sources.  ",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 10:04 AM,19/Mar/24 10:31 AM,24/Feb/24 12:00 AM
Story,SCRUM-26,10025,"As a developer, I want to detect locations based on GPS (if on a device) or IP.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:06 PM,19/Mar/24 10:31 AM,20/Feb/24 12:00 AM
Story,SCRUM-28,10027,"As a developer, I want to provide seasonal forecasts like seasonal precipitation and temperatures.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:10 PM,19/Mar/24 10:31 AM,04/Mar/24 12:00 AM
Story,SCRUM-29,10028,"As a developer, build logic to reconcile and aggregate data from multiple service providers and display the result to user based on his preference.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:12 PM,19/Mar/24 10:31 AM,01/Mar/24 12:00 AM
Story,SCRUM-30,10029,"As a developer, I want to publish API or Services for client apps.",Developer,712020:dba1e657-232d-41bf-b94a-5102ed66e779,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,Done,Done,18/Mar/24 12:13 PM,19/Mar/24 10:31 AM,17/Mar/24 12:00 AM
